Mouse.ID,strain,time,CLiv,CKid,CLivTCA,CKidTCA,CPlasTCA,CBldTCVG,CLivTCVG,CKidTCVG,CBldTCVC,CLivTCVC,CKidTCVC,CBldNAT,CLivNAT,CKidNAT
jac_CC-001,CC021/Unc,1,80.17895658,92.24185391,34.90225802,34.23118356,93.80369111,0.007080503,0.069494877,0.01663401,0.004946,0.003152425,0.044326491,0.030576981,0.051107166,0.011634101
jac_CC-002,CC021/Unc,2,44.50042719,98.59445443,69.35070402,40.71854727,241.0744369,0.004377302,0.036466228,0.025241453,0.010046759,0.005047262,0.053778238,0.034811263,0.064873911,0.027567518
jac_CC-003,CC021/Unc,4,59.1266426,21.17506863,94.71960224,51.16732925,287.5228825,0.001185095,0.010234713,0.005332903,0.003458879,0.000883932,0.015143023,0.008184633,0.022484045,0.006651487
jac_CC-004,CC021/Unc,12,4.053668305,4.600675121,75.66582481,60.07312135,308.5488918,0.000559927,0.003513296,0.002342572,4.57E-05,0.001628421,0.002608569,0.000453461,0.003573934,0.003241647
jac_CC-005,CC021/Unc,24,0.000016583,0.975419651,57.1049698,26.57562779,121.1567551,,,,,,,,,
jac_CC-007,CC015/Unc,1,94.83798589,97.81653688,36.40314164,17.96834929,77.1628782,0.004070379,0.075036,0.063786656,0.005918361,0.001486829,0.028957773,0.013809411,0.045913875,0.017251847
jac_CC-008,CC015/Unc,2,68.81710556,90.936384,53.17868224,34.29600853,126.2708868,0.003586888,0.048537288,0.063071074,0.005482559,0.00117612,0.027753084,0.012871773,0.038053883,0.017687932
jac_CC-009,CC015/Unc,4,57.72944109,83.06897922,105.1051607,150.1327534,210.3219234,0.002346041,0.024266116,0.041721458,0.002527016,0.001106023,0.01946293,0.009421638,0.028736097,0.015396097
jac_CC-010,CC015/Unc,12,26.4117492,4.801367601,107.7739358,74.8432501,,0.000742984,0.005062283,0.006031404,0.000305809,0.000777502,0.003704521,0.000886496,0.00269433,0.004399681
jac_CC-011,CC015/Unc,24,2.479985207,0.086296833,93.6580717,53.67586625,287.1039293,,,,,,,,,
jac_CC-013,CC035/Unc,1,102.3307601,222.4820654,42.87604965,24.12116482,123.1810485,0.009625826,0.278863769,0.034468563,0.015483862,0.00394505,0.036687422,0.040721175,0.092841668,0.014770691
jac_CC-015,CC035/Unc,4,107.8870015,67.52694913,93.09856194,60.82189535,219.6971558,0.002665674,0.091118875,0.015624501,0.009307639,0.00204745,0.016927749,0.015224953,0.023963136,0.010153862
jac_CC-017,CC035/Unc,24,0.480993822,0.158483669,29.34816549,1.613352835,90.018665,,,,,,,,,
