chemical,tissue,TKVF,m,low,up,Study
NAcTCVC,blood,TKVF95,3.532535427,2.782607802,4.725191076,This study - PO=10 mg
NAcTCVC,kidney,TKVF95,2.906387552,2.385840195,3.659478528,This study - PO=10 mg
NAcTCVC,liver,TKVF95,3.849957171,3.034366759,5.009629022,This study - PO=10 mg
Perc,blood,TKVF95,1.697537626,1.492016827,1.868176878,This study - PO=10 mg
Perc,kidney,TKVF95,2.010293855,1.768655074,2.416857473,This study - PO=10 mg
Perc,liver,TKVF95,2.417176482,1.975712007,2.882065896,This study - PO=10 mg
TCA,blood,TKVF95,1.880041605,1.702518391,2.131816232,This study - PO=10 mg
TCA,kidney,TKVF95,1.953871602,1.72697054,2.258326872,This study - PO=10 mg
TCA,liver,TKVF95,1.778654656,1.613876824,1.96306442,This study - PO=10 mg
TCVC,blood,TKVF95,3.723298839,3.018549231,4.976495017,This study - PO=10 mg
TCVC,kidney,TKVF95,2.631604288,2.175825959,3.19421926,This study - PO=10 mg
TCVC,liver,TKVF95,6.814625777,4.570771495,10.88399652,This study - PO=10 mg
TCVG,blood,TKVF95,2.14595877,1.882901128,2.50650723,This study - PO=10 mg
TCVG,kidney,TKVF95,2.563488172,2.201111716,3.136180233,This study - PO=10 mg
TCVG,liver,TKVF95,2.555313321,2.117775963,3.026206037,This study - PO=10 mg
NAcTCVC,blood,TKVF95,3.559477634,2.960414858,4.775578571,This study - PO=100 mg
NAcTCVC,kidney,TKVF95,3.004321806,2.437522943,3.866483266,This study - PO=100 mg
NAcTCVC,liver,TKVF95,3.990343272,3.208758748,5.193419747,This study - PO=100 mg
Perc,blood,TKVF95,1.865913111,1.676290682,2.160499773,This study - PO=100 mg
Perc,kidney,TKVF95,2.09882871,1.82639081,2.496801929,This study - PO=100 mg
Perc,liver,TKVF95,2.452864183,2.082670034,2.911803912,This study - PO=100 mg
TCA,blood,TKVF95,1.95911305,1.743877811,2.22033851,This study - PO=100 mg
TCA,kidney,TKVF95,2.018814785,1.735741407,2.332804907,This study - PO=100 mg
TCA,liver,TKVF95,1.868429333,1.646177948,2.052224948,This study - PO=100 mg
TCVC,blood,TKVF95,3.80554902,3.022729004,5.058518265,This study - PO=100 mg
TCVC,kidney,TKVF95,2.696393787,2.278428455,3.403239114,This study - PO=100 mg
TCVC,liver,TKVF95,7.028593785,4.672556759,11.36674185,This study - PO=100 mg
TCVG,blood,TKVF95,2.283107853,2.043036832,2.740248519,This study - PO=100 mg
TCVG,kidney,TKVF95,2.702435248,2.287363062,3.288874339,This study - PO=100 mg
TCVG,liver,TKVF95,2.690088946,2.283194099,3.278637839,This study - PO=100 mg
Perc,blood,TKVF95,1.772498159,1.602284789,1.953863253,This study - PO=1000 mg
Perc,liver,TKVF95,2.254265801,1.918664054,2.739607007,This study - PO=1000 mg
Perc,kidney,TKVF95,1.959775843,1.740077151,2.346708012,This study - PO=1000 mg
TCA,blood,TKVF95,2.312899181,2.032664343,2.708334215,This study - PO=1000 mg
TCA,liver,TKVF95,2.243373584,1.945728378,2.600328432,This study - PO=1000 mg
TCA,kidney,TKVF95,2.380256538,1.966000141,2.850664154,This study - PO=1000 mg
TCVG,blood,TKVF95,2.203730212,1.983559013,2.62853868,This study - PO=1000 mg
TCVG,liver,TKVF95,2.634643269,2.278223857,3.164819018,This study - PO=1000 mg
TCVG,kidney,TKVF95,2.590006997,2.256592598,3.152132656,This study - PO=1000 mg
TCVC,blood,TKVF95,3.773959566,3.023196245,5.109677916,This study - PO=1000 mg
TCVC,liver,TKVF95,6.746671922,4.608237224,11.07736884,This study - PO=1000 mg
TCVC,kidney,TKVF95,2.629235126,2.277007694,3.33771932,This study - PO=1000 mg
NAcTCVC,blood,TKVF95,3.539163724,2.818351117,4.88605632,This study - PO=1000 mg
NAcTCVC,liver,TKVF95,3.928522764,3.212726221,5.102616013,This study - PO=1000 mg
NAcTCVC,kidney,TKVF95,2.95489249,2.460406573,3.534879945,This study - PO=1000 mg
Perc,liver,TKVF95,1.88,,,Luo et al. (2019)
Perc,kidney,TKVF95,1.94,,,Luo et al. (2019)
TCA,blood,TKVF95,2.77,,,Luo et al. (2019)
TCA,liver,TKVF95,1.82,,,Luo et al. (2019)
TCA,kidney,TKVF95,1.97,,,Luo et al. (2019)
TCVG,blood,TKVF95,1.35,,,Luo et al. (2019)
TCVG,liver,TKVF95,2.66,,,Luo et al. (2019)
TCVG,kidney,TKVF95,1.81,,,Luo et al. (2019)
TCVC,blood,TKVF95,3.51,,,Luo et al. (2019)
TCVC,liver,TKVF95,2.59,,,Luo et al. (2019)
TCVC,kidney,TKVF95,2.43,,,Luo et al. (2019)
NAcTCVC,blood,TKVF95,3.25,,,Luo et al. (2019)
NAcTCVC,liver,TKVF95,2.62,,,Luo et al. (2019)
NAcTCVC,kidney,TKVF95,3.13,,,Luo et al. (2019)
