parameter,value,cutoff,cat
lnQCC,0.05525078,0.05-0.1,mSI
lnVPRC,0.024088979,0.01-0.05,mSI
QFatC,0.005998828,<0.01,mSI
QGutC,0.000218847,<0.01,mSI
QLivC,1.05E-05,<0.01,mSI
QSlwC,9.61E-06,<0.01,mSI
QKidC,0.003836942,<0.01,mSI
FracPlasC,3.45E-05,<0.01,mSI
VFatC,0.025125043,0.01-0.05,mSI
VGutC,1.21E-05,<0.01,mSI
VLivC,0.001758042,<0.01,mSI
VRapC,7.82E-06,<0.01,mSI
VRespLumC,9.04E-06,<0.01,mSI
VRespEffC,7.79E-06,<0.01,mSI
VKidC,8.76E-05,<0.01,mSI
VBldC,0.000193147,<0.01,mSI
lnkTSD,9.19E-06,<0.01,mSI
lnkAS,1.17E-05,<0.01,mSI
lnkASAq,0.409024895,>0.3,mSI
lnkAD,1.07E-05,<0.01,mSI
lnkTSDAq,0.28713625,0.1-0.3,mSI
lnkADAq,0.533769363,>0.3,mSI
PBC,0.022800332,0.01-0.05,mSI
PFatC,0.021173883,0.01-0.05,mSI
lnPGutC,9.87E-05,<0.01,mSI
lnPLivC,0.175979054,0.1-0.3,mSI
lnPRapC,0.000293858,<0.01,mSI
lnPRespC,2.80E-05,<0.01,mSI
lnPKidC,0.206400079,0.1-0.3,mSI
lnPSlwC,0.004607475,<0.01,mSI
lnPBrnC,9.46E-06,<0.01,mSI
lnPRBCPlasTCAC,0.066320499,0.05-0.1,mSI
lnPKidTCAC,0.099844248,0.05-0.1,mSI
lnPBrnTCAC,9.76E-05,<0.01,mSI
lnPBodTCAC,0.033065392,0.01-0.05,mSI
lnPLivTCAC,0.035381392,0.01-0.05,mSI
lnkDissocC,0.026859217,0.01-0.05,mSI
lnBMaxkDC,0.012751027,0.01-0.05,mSI
lnPBodTCVGC,0.002383646,<0.01,mSI
lnPLivTCVGC,0.13191043,0.1-0.3,mSI
lnPKidTCVGC,0.015814495,0.01-0.05,mSI
lnPBodTCVCC,0.003607136,<0.01,mSI
lnPLivTCVCC,0.113328068,0.1-0.3,mSI
lnPKidTCVCC,0.095008198,0.05-0.1,mSI
lnPBodNATC,0.012406153,0.01-0.05,mSI
lnPLivNATC,0.084327797,0.05-0.1,mSI
lnPKidNATC,0.108668912,0.1-0.3,mSI
lnKMC,0.050405798,0.05-0.1,mSI
lnClC,0.434891511,>0.3,mSI
lnCl2OxC,0.301575594,>0.3,mSI
lnFracOtherC,0.002556416,<0.01,mSI
lnkUrnTCAC,0.003567538,<0.01,mSI
lnkMetTCAC,0.022571964,0.01-0.05,mSI
lnClTCVGC,0.368922564,>0.3,mSI
lnkKidTCVCC,0.234634465,0.1-0.3,mSI
lnkKidNATC,0.247016095,0.1-0.3,mSI
lnkDCAC,0.005550882,<0.01,mSI
lnkUrnNATC,0.299931001,0.1-0.3,mSI
lnQCC,0.005729696,<0.05,mCI
lnVPRC,0.004923923,<0.05,mCI
QFatC,0.000912923,<0.05,mCI
QGutC,4.40E-05,<0.05,mCI
QLivC,1.77E-05,<0.05,mCI
QSlwC,1.44E-05,<0.05,mCI
QKidC,0.000550095,<0.05,mCI
FracPlasC,2.39E-05,<0.05,mCI
VFatC,0.001421488,<0.05,mCI
VGutC,1.18E-05,<0.05,mCI
VLivC,0.000706172,<0.05,mCI
VRapC,1.21E-05,<0.05,mCI
VRespLumC,1.85E-05,<0.05,mCI
VRespEffC,8.12E-06,<0.05,mCI
VKidC,5.62E-05,<0.05,mCI
VBldC,0.000162457,<0.05,mCI
lnkTSD,1.54E-05,<0.05,mCI
lnkAS,1.32E-05,<0.05,mCI
lnkASAq,0.018623662,<0.05,mCI
