"","value","cutoff","cat"
"lnQCC",0.0604974874020569,"0.05-0.1","mSI"
"lnVPRC",0.0370155357514169,"0.01-0.05","mSI"
"QFatC",0.00599882845235557,"<0.01","mSI"
"QGutC",0.000218846985586733,"<0.01","mSI"
"QLivC",3.18262492853576e-05,"<0.01","mSI"
"QSlwC",1.03407671490846e-05,"<0.01","mSI"
"QKidC",0.00383694173310024,"<0.01","mSI"
"FracPlasC",4.49802152310635e-05,"<0.01","mSI"
"VFatC",0.0251250432843961,"0.01-0.05","mSI"
"VGutC",2.56352074245928e-05,"<0.01","mSI"
"VLivC",0.00297338321039884,"<0.01","mSI"
"VRapC",2.74249568795465e-05,"<0.01","mSI"
"VRespLumC",2.50511489173126e-05,"<0.01","mSI"
"VRespEffC",2.68257091136557e-05,"<0.01","mSI"
"VKidC",8.75790821384775e-05,"<0.01","mSI"
"VBldC",0.000193146776547614,"<0.01","mSI"
"lnkTSD",1.64476833468327e-05,"<0.01","mSI"
"lnkAS",3.60145528525098e-05,"<0.01","mSI"
"lnkASAq",0.409024895486223,">0.3","mSI"
"lnkAD",1.86941658341284e-05,"<0.01","mSI"
"lnkTSDAq",0.287136250160007,"0.1-0.3","mSI"
"lnkADAq",0.533769362713828,">0.3","mSI"
"PBC",0.0228003322579672,"0.01-0.05","mSI"
"PFatC",0.0597791546785676,"0.05-0.1","mSI"
"lnPGutC",9.87165521237402e-05,"<0.01","mSI"
"lnPLivC",0.175979054208364,"0.1-0.3","mSI"
"lnPRapC",0.000293858267527231,"<0.01","mSI"
"lnPRespC",0.000120768496960322,"<0.01","mSI"
"lnPKidC",0.206400078940777,"0.1-0.3","mSI"
"lnPSlwC",0.0046074754224357,"<0.01","mSI"
"lnPBrnC",1.81937325780376e-05,"<0.01","mSI"
"lnPRBCPlasTCAC",0.1080541324612,"0.1-0.3","mSI"
"lnPKidTCAC",0.126646986510435,"0.1-0.3","mSI"
"lnPBrnTCAC",9.76342830720802e-05,"<0.01","mSI"
"lnPBodTCAC",0.0330653919241134,"0.01-0.05","mSI"
"lnPLivTCAC",0.0564588320809622,"0.05-0.1","mSI"
"lnkDissocC",0.0469761259542252,"0.01-0.05","mSI"
"lnBMaxkDC",0.0234140895890166,"0.01-0.05","mSI"
"lnPBodTCVGC",0.00238364553651542,"<0.01","mSI"
"lnPLivTCVGC",0.131910430164095,"0.1-0.3","mSI"
"lnPKidTCVGC",0.0158144954065848,"0.01-0.05","mSI"
"lnPBodTCVCC",0.00360713636263826,"<0.01","mSI"
"lnPLivTCVCC",0.11332806834921,"0.1-0.3","mSI"
"lnPKidTCVCC",0.0950081978045388,"0.05-0.1","mSI"
"lnPBodNATC",0.0124061530760996,"0.01-0.05","mSI"
"lnPLivNATC",0.0843277968979592,"0.05-0.1","mSI"
"lnPKidNATC",0.10866891215051,"0.1-0.3","mSI"
"lnKMC",0.0520691519345144,"0.05-0.1","mSI"
"lnClC",0.43489151120459,">0.3","mSI"
"lnCl2OxC",0.301575593905171,">0.3","mSI"
"lnFracOtherC",0.00455901001593233,"<0.01","mSI"
"lnkUrnTCAC",0.031745131349372,"0.01-0.05","mSI"
"lnkMetTCAC",0.206886318865794,"0.1-0.3","mSI"
"lnClTCVGC",0.368922563821326,">0.3","mSI"
"lnkKidTCVCC",0.23463446459934,"0.1-0.3","mSI"
"lnkKidNATC",0.247016094647459,"0.1-0.3","mSI"
"lnkDCAC",0.00555088240351684,"<0.01","mSI"
"lnkUrnNATC",0.299931000593718,"0.1-0.3","mSI"
"lnQCC1",0.00572969557855012,"<0.05","mCI"
"lnVPRC1",0.00492392273731086,"<0.05","mCI"
"QFatC1",0.000912922624451887,"<0.05","mCI"
"QGutC1",5.38824022374307e-05,"<0.05","mCI"
"QLivC1",4.54170545506053e-05,"<0.05","mCI"
"QSlwC1",1.93862573059495e-05,"<0.05","mCI"
"QKidC1",0.00055009503542404,"<0.05","mCI"
"FracPlasC1",5.00657262084282e-05,"<0.05","mCI"
"VFatC1",0.00311271164592177,"<0.05","mCI"
"VGutC1",4.10185657017923e-05,"<0.05","mCI"
"VLivC1",0.000714868298298974,"<0.05","mCI"
