"time"	"name"	"median"	"low.m"	"up.m"	"low"	"up"	"chemical"	"tissue"
0	"CVen"	0	0	0	0	0	"Perc"	"blood"
1	"CBldNAT"	0.01755435	0.009777225	0.03138105	0.00321663875	0.0867810075	"NAcTCVC"	"blood"
1	"CBldTCVC"	0.005796395	0.00307354	0.01065245	0.00087831765	0.03710018	"TCVC"	"blood"
1	"CBldTCVG"	0.00655891	0.0040429475	0.01024485	0.00162865025	0.022762315	"TCVG"	"blood"
1	"CKid"	90.8792	59.07225	135.61275	24.9938	281.80325	"Perc"	"kidney"
1	"CKidNAT"	0.01493805	0.0086963225	0.025750025	0.0031585715	0.0723879675	"NAcTCVC"	"kidney"
1	"CKidTCA"	21.77345	12.494375	38.612625	4.54815025	110.208925	"TCA"	"kidney"
1	"CKidTCVC"	0.03940705	0.023006	0.06514075	0.00812097075	0.178840675	"TCVC"	"kidney"
1	"CKidTCVG"	0.02027825	0.0119874	0.03402515	0.00443175275	0.0845441649999996	"TCVG"	"kidney"
1	"CLiv"	107.5235	67.44945	168.135	26.7212275	373.537449999999	"Perc"	"liver"
1	"CLivNAT"	0.04194125	0.023127175	0.0750043	0.00699069025	0.2113688	"NAcTCVC"	"liver"
1	"CLivTCA"	39.35415	23.76435	66.672275	9.0156	184.121475	"TCA"	"liver"
1	"CLivTCVC"	0.001435385	0.00059830825	0.0033646425	0.0001285791	0.01739668	"TCVC"	"liver"
1	"CLivTCVG"	0.0807687	0.047878075	0.133785	0.01717548	0.327876799999999	"TCVG"	"liver"
1	"CPlasTCA"	81.08185	52.28815	123.7965	23.05234	272.01255	"TCA"	"blood"
2	"CBldNAT"	0.0186694	0.010334	0.033685625	0.0032726435	0.0965767825	"NAcTCVC"	"blood"
2	"CBldTCVC"	0.004700365	0.0025240025	0.0085946425	0.000754672775	0.028720465	"TCVC"	"blood"
2	"CBldTCVG"	0.0051993	0.0033353525	0.007997615	0.00131117625	0.01713904	"TCVG"	"blood"
2	"CKid"	77.54305	51.556525	115.1025	21.892775	230.2091	"Perc"	"kidney"
2	"CKidNAT"	0.01564005	0.0090162125	0.02595275	0.0032099365	0.0667672025	"NAcTCVC"	"kidney"
2	"CKidTCA"	33.6715	20.080125	55.886375	7.5131265	140.00005	"TCA"	"kidney"
2	"CKidTCVC"	0.03210525	0.018994925	0.051592475	0.00680635125	0.130483275	"TCVC"	"kidney"
2	"CKidTCVG"	0.0164478	0.0097708375	0.026722725	0.00358093225	0.0654521325	"TCVG"	"kidney"
2	"CLiv"	90.6533	57.732325	141.95275	21.558075	302.4102	"Perc"	"liver"
2	"CLivNAT"	0.0455475	0.024331375	0.082882175	0.006860339	0.2531257	"NAcTCVC"	"liver"
2	"CLivTCA"	58.1513	36.008225	93.7292	14.36326	238.4576	"TCA"	"liver"
2	"CLivTCVC"	0.00114848	0.000492992	0.002641625	0.00010412125	0.0139031974999999	"TCVC"	"liver"
2	"CLivTCVG"	0.0645075	0.03918605	0.10648025	0.0140027975	0.260270675	"TCVG"	"liver"
2	"CPlasTCA"	113.7425	76.45555	167.205	35.1996525	346.055775	"TCA"	"blood"
3	"CBldNAT"	0.01635965	0.008814035	0.029943025	0.002647365	0.0890528125	"NAcTCVC"	"blood"
3	"CBldTCVC"	0.003939905	0.0021201275	0.0073660625	0.0006300893	0.023920245	"TCVC"	"blood"
3	"CBldTCVG"	0.00437697	0.0028450975	0.0067731625	0.00108545225	0.014883465	"TCVG"	"blood"
3	"CKid"	69.2272	45.704875	101.5065	19.517395	199.782875	"Perc"	"kidney"
3	"CKidNAT"	0.01369425	0.0077971475	0.0231317	0.002616434	0.0599002499999999	"NAcTCVC"	"kidney"
3	"CKidTCA"	42.6797	26.063625	68.740575	9.9114425	164.561225	"TCA"	"kidney"
3	"CKidTCVC"	0.0270536	0.01607675	0.043273325	0.0056372765	0.108708	"TCVC"	"kidney"
3	"CKidTCVG"	0.01399605	0.00832352	0.022520475	0.0029762735	0.05592867	"TCVG"	"kidney"
3	"CLiv"	79.5638	50.743875	123.3165	18.7858025	259.52685	"Perc"	"liver"
3	"CLivNAT"	0.03974215	0.0206381	0.073010475	0.00551757175	0.229743675	"NAcTCVC"	"liver"
3	"CLivTCA"	72.7972	45.21595	114.05025	18.5835275	269.8665	"TCA"	"liver"
3	"CLivTCVC"	0.0009537195	0.0004165745	0.002222025	8.6387555e-05	0.0119707775	"TCVC"	"liver"
